condition_id,a,c,eta,regime,policy,p_ever_unstable,p_ever_unstable_low,p_ever_unstable_high,median_first_instability,mean_terminal_psi,sem_terminal_psi,mean_intervention_rate
9,0.25,0.02,0.17636005366426297,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.041641881459461176,0.00019844038327008204,0.4416666666666666
9,0.25,0.02,0.13636005366426296,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10313806667108102,0.0004690626540965533,0.4318888888888889
9,0.25,0.02,0.13636005366426296,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.019847095908729528,0.00019366432836376047,0.0
9,0.25,0.02,0.13636005366426296,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10712977109034284,0.00021000822127557566,0.4333333333333334
10,0.25,0.03,0.16149077046548957,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.05363704700667631,0.00046864053118329205,0.4444722222222222
10,0.25,0.03,0.16149077046548957,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,104.0,-0.0482775394375359,0.00019808619103226847,0.0
10,0.25,0.03,0.16149077046548957,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.041609760474596746,0.00019198164303226513,0.4416666666666666
10,0.25,0.03,0.12149077046548958,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10379506793314851,0.0004540067427213272,0.43330555555555555
10,0.25,0.03,0.12149077046548958,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.02007597809761155,0.00020027899340491377,0.0
10,0.25,0.03,0.12149077046548958,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.107857318333534,0.00019363399784054974,0.4333333333333334
11,0.25,0.05,0.1324066011235955,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.05371020100023303,0.0004924293646743118,0.4446388888888889
11,0.25,0.05,0.1324066011235955,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,104.0,-0.04828147135086528,0.0002051237689045627,0.0
11,0.25,0.05,0.1324066011235955,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04189423193130908,0.0002037191094237429,0.4416666666666666
11,0.25,0.05,0.09240660112359551,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.1039639671797168,0.0004563214839109183,0.4346666666666667
11,0.25,0.05,0.09240660112359551,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.01983424280906238,0.00020481719790655046,0.0
11,0.25,0.05,0.09240660112359551,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10701382846553736,0.0002017593442048603,0.4333333333333334
12,0.3,0.01,0.11334664116662682,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.053372756389930213,0.0004629235778987965,0.44563888888888886
12,0.3,0.01,0.11334664116662682,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,104.0,-0.048422384007535874,0.00021257853013823466,0.0
12,0.3,0.01,0.11334664116662682,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04114336435236094,0.00021150174149343526,0.4416666666666666
12,0.3,0.01,0.07334664116662683,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10279044968221969,0.00044121343475473377,0.43463888888888885
12,0.3,0.01,0.07334664116662683,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.019918865819749557,0.00019388039766251601,0.0
12,0.3,0.01,0.07334664116662683,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10638377846860982,0.00018394728390546216,0.4333333333333334
13,0.3,0.02,0.09889124443502226,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.05288672615670728,0.0004766000920430383,0.44583333333333336
13,0.3,0.02,0.09889124443502226,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,104.0,-0.048633000545439814,0.00020082165353778656,0.0
13,0.3,0.02,0.09889124443502226,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04231520922141717,0.00019813308742677504,0.4500000000000001
13,0.3,0.02,0.05889124443502226,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10178175530508608,0.0004696509879236256,0.4352222222222223
13,0.3,0.02,0.05889124443502226,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.01950511690525261,0.0002012589347860909,0.0
13,0.3,0.02,0.05889124443502226,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10626182171814232,0.00019152343661806338,0.4333333333333334
14,0.3,0.03,0.08389493186708105,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.053699825132874524,0.00047553279383439516,0.44605555555555554
14,0.3,0.03,0.08389493186708105,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,105.0,-0.04771927461682194,0.00019195112979865134,0.0
14,0.3,0.03,0.08389493186708105,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04254045773196722,0.00018172853902150455,0.4500000000000001
14,0.3,0.03,0.043894931867081044,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10341400791387538,0.00045165640211299914,0.43538888888888894
14,0.3,0.03,0.043894931867081044,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.019891145634115485,0.0001930057133196017,0.0
14,0.3,0.03,0.043894931867081044,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10677256978337124,0.0002012241626513408,0.4333333333333334
15,0.3,0.05,0.05464870157116882,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.054463332460811816,0.00046609527884156976,0.4470277777777778
15,0.3,0.05,0.05464870157116882,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,105.0,-0.047669517452759026,0.0001958076638668968,0.0
15,0.3,0.05,0.05464870157116882,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04261487916635254,0.0001845204961422591,0.4500000000000001
15,0.3,0.05,0.01464870157116882,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10319098373763182,0.0004764018734567431,0.4364722222222222
15,0.3,0.05,0.01464870157116882,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.020715597214010145,0.00019145459694313284,0.0
15,0.3,0.05,0.01464870157116882,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.1069656078931755,0.00018663843246491082,0.4333333333333334
